Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,21,0,2600.0,3083.570855238096,1486.6144589999983,5936.910167000001,137.0,0.3563525893638319,0.0,2600,3000,3200,3900,4500,5600,5900,5900,5900,5900,5900
,Aggregated,21,0,2600.0,3083.570855238096,1486.6144589999983,5936.910167000001,137.0,0.3563525893638319,0.0,2600,3000,3200,3900,4500,5600,5900,5900,5900,5900,5900
