Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,942,64,8100.0,12110.01553038322,1.1040000000122063,42580.21704100001,134.38853503184714,5.245771954540341,0.3564006423466899,8100,11000,17000,27000,31000,32000,32000,33000,43000,43000,43000
,Aggregated,942,64,8100.0,12110.01553038322,1.1040000000122063,42580.21704100001,134.38853503184714,5.245771954540341,0.3564006423466899,8100,11000,17000,27000,31000,32000,32000,33000,43000,43000,43000
