Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,8,0,51000.0,51398.16900524999,50917.533666,51985.657833,137.0,0.13558774617901465,0.0,51000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
,Aggregated,8,0,51000.0,51398.16900524999,50917.533666,51985.657833,137.0,0.13558774617901465,0.0,51000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
